iter	Passed	Remaining
0	0	23
1	0	23
2	0	26
3	1	24
4	1	23
5	1	24
6	1	25
7	2	25
8	2	25
9	2	25
10	3	24
11	3	24
12	3	23
13	3	23
14	4	23
15	4	22
16	4	22
17	4	22
18	5	21
19	5	21
20	5	21
21	5	21
22	6	20
23	6	20
24	6	20
25	6	19
26	7	19
27	7	19
28	7	19
29	8	18
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	10	17
37	10	16
38	10	16
39	10	16
40	11	15
41	11	15
42	11	15
43	11	15
44	12	15
45	12	14
46	13	14
47	13	14
48	13	14
49	14	14
50	14	14
51	15	13
52	15	13
53	15	13
54	16	13
55	16	12
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	22	8
71	22	8
72	22	8
73	23	8
74	23	7
75	23	7
76	24	7
77	24	6
78	25	6
79	25	6
80	25	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	28	4
87	28	3
88	28	3
89	29	3
90	29	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	33	0
