iter	Passed	Remaining
0	54	54930
1	55	27770
2	56	18634
3	56	14070
4	56	11318
5	57	9479
6	57	8179
7	58	7218
8	58	6462
9	59	5845
10	59	5338
11	59	4926
12	60	4565
13	60	4258
14	60	4000
15	61	3766
16	61	3559
17	61	3375
18	62	3216
19	62	3075
20	63	2944
21	63	2822
22	63	2716
23	64	2613
24	64	2518
25	64	2434
26	65	2354
27	65	2280
28	65	2209
29	66	2141
30	66	2081
31	67	2026
32	67	1973
33	67	1924
34	68	1876
35	68	1831
36	68	1787
37	68	1745
38	69	1705
39	70	1683
40	70	1649
41	70	1614
42	71	1583
43	71	1552
44	71	1521
45	72	1494
46	72	1469
47	72	1446
48	73	1424
49	73	1400
50	74	1379
51	74	1360
52	75	1342
53	75	1322
54	75	1305
55	76	1287
56	76	1269
57	77	1252
58	77	1237
59	77	1220
60	78	1205
61	78	1189
62	78	1173
63	79	1159
64	79	1146
65	80	1134
66	80	1122
67	81	1110
68	81	1098
69	81	1087
70	82	1074
71	82	1061
72	82	1050
73	83	1040
74	83	1031
75	83	1019
76	84	1010
77	84	999
78	85	998
79	85	988
80	86	978
81	86	967
82	86	956
83	86	946
84	87	943
85	87	935
86	88	926
87	88	918
88	88	910
89	89	902
90	89	895
91	89	888
92	90	881
93	90	873
94	91	867
95	91	860
96	91	852
97	91	846
98	92	839
99	92	832
100	92	826
101	93	819
102	93	814
103	93	808
104	94	801
105	94	796
106	94	790
107	94	784
108	95	778
109	95	773
110	95	768
111	96	763
112	96	758
113	96	753
114	97	749
115	97	745
116	97	739
117	98	734
118	98	729
119	98	725
120	99	721
121	99	716
122	99	711
123	100	707
124	100	703
125	100	700
126	101	695
127	101	691
128	101	687
129	102	684
130	102	680
131	102	676
132	103	672
133	103	670
134	104	667
135	104	663
136	104	660
137	105	657
138	105	654
139	105	650
140	106	647
141	106	643
142	106	640
143	107	638
144	107	635
145	108	632
146	108	629
147	108	626
148	109	623
149	109	621
150	109	618
151	110	615
152	110	613
153	111	610
154	111	607
155	111	605
156	112	602
157	112	599
158	112	597
159	113	594
160	113	591
161	113	588
162	114	586
163	114	583
164	114	581
165	115	578
166	115	576
167	115	574
168	116	571
169	116	568
170	116	565
171	116	563
172	117	560
173	117	558
174	118	556
175	118	554
176	118	552
177	119	550
178	119	548
179	120	546
180	120	544
181	120	543
182	121	541
183	121	539
184	122	538
185	122	537
186	123	534
187	123	533
188	123	531
189	124	529
190	124	527
191	124	525
192	125	524
193	125	522
194	126	520
195	126	519
196	126	517
197	127	515
198	127	513
199	127	511
200	128	509
201	128	507
202	129	506
203	129	505
204	129	503
205	130	501
206	130	500
207	130	497
208	131	496
209	131	494
210	131	493
211	132	491
212	132	490
213	133	488
214	133	487
215	134	486
216	134	485
217	134	483
218	135	482
219	135	480
220	135	478
221	136	477
222	136	475
223	136	473
224	137	473
225	138	473
226	138	472
227	139	470
228	139	469
229	139	467
230	140	466
231	140	466
232	141	464
233	141	463
234	141	462
235	142	460
236	142	459
237	143	458
238	143	456
239	143	455
240	144	454
241	144	453
242	145	452
243	145	450
244	145	449
245	146	448
246	146	447
247	147	446
248	147	445
249	148	444
250	148	442
251	148	441
252	149	440
253	150	440
254	150	440
255	151	439
256	151	437
257	151	436
258	152	435
259	152	434
260	153	433
261	153	433
262	154	432
263	154	432
264	155	431
265	155	430
266	156	429
267	156	428
268	157	428
269	157	427
270	158	425
271	158	424
272	159	423
273	160	424
274	160	423
275	160	422
276	161	420
277	161	420
278	162	418
279	162	417
280	162	416
281	163	415
282	163	414
283	163	413
284	164	412
285	164	411
286	164	409
287	165	408
288	165	407
289	166	406
290	166	405
291	166	404
292	167	403
293	167	402
294	167	401
295	168	400
296	169	401
297	170	400
298	170	400
299	171	399
300	171	399
301	172	398
302	172	397
303	173	396
304	173	395
305	173	393
306	174	392
307	174	392
308	174	391
309	175	390
310	175	389
311	175	387
312	176	386
313	176	385
314	177	384
315	177	383
